"","Insult","Comment"
"5700",1,"""YOU filthy ignorant--cock-sucker stankin ass whore u should leave while you still ahead before someone stick a dick in your mouth to make u shut up"""
"5701",1,"""Sarcasm?  learn how to spell you moron"""
"5703",1,"""If u didnt give a fuck what i was saying why is ur dumbass replying? Clearly u are ignorant and unsophisticated."""
"5707",1,"""your ignorant as fuck.. black people been skateboarding for a long ass time.. stop looking for lil wayne to set your trends"""
"5712",1,"""You're a turd."""
"5716",1,"""You have 60 years worth of history wrong, and I'm the ""idiot!?!?""  benny_hill, why do you hide your comment history. I just caught you posting under your old name, but you delete the profile before anyone can see your campaign of character assassination, smear and distortion.  Cowardly much?"""
"5717",1,"""AlenLemone - Anyone intelligent reading your comment could only come to the conclusion that you have mental issues, to say the least. Either that or you're simply a biased russian."""
"5718",1,"""Bitch, you replied to my comment, you stupid ass nigga. Shut your trolling ass up and log out and go breathe some air for once. And LMAO @ how fast you replied back to me. I see you live on this site smh. Go get your dick wet, seriously and stop sucking uncle ronnie's dick."""
"5721",1,"""buzz off you twat"""
"5726",1,"""Go change your depends, crybaby."""
"5728",1,"""That was so 45 minutes ago troll. Get with the times."""
"5730",1,"""Stop whining you moron democrats you backed aFucking no brain marxist loser in 2007. Now pay the price"""
"5732",1,"""I already have insurance you jack AZZ.  But If I didn't I will show up where I want to for medical care and you dumb AZZ will be paying for it just like you will be for all of those that can't and or won't afford to get insurance.  See, this is why I don't like talking to people like you, you have to use nasty language on you opposition because that's the way you deal with people that do not agree with you."""
"5739",1,"""Leidiot is a disgusting leader""less"", moronic, self serving, egotistical, selfish, bullying, idiotic, clown like, deceitful and hateful scumbag."""
"5740",1,"""Your Teabilly slutchild is just as ignorant as her mother.  You people are the trailer trash of America."""
"5743",1,"""NO FUCKING WAY??!!!! You can't leave us! Can't you knock over an old lady or something? Turn tricks? Blackmail someone?   FUCK! NOOOOOOOOOOOOOOOOOOOOOOO!!!!!!!!!!!!!!!!!!!!"""
"5745",1,"""Shut up you PAWB. Lebron lsoing is not going to ad years to your life."""
"5748",1,"""And sodomize you against your will? You are a sick ticket Annabelle."""
"5750",1,"""fuck off whore"""
"5752",1,"""damn, you are truly stupid"""
"5754",1,"""lol ur dumb/retarded"""
"5759",1,"""Hey moron, 1) you're a disgusting human 2) Seau wasnt on those pats teams.  You're a fool."""
"5761",1,"""BS. Lowe you are an arrogant prick. Beyond criticism? You deserve nothing but criticism you idiot."""
"5762",1,"""Can you post a statement without using the word idiot? Try being a little more eloquent with your retorts or just start pulling the wings off of flies towhile the hours away......."""
"5764",1,"""says the child who does not understand what relevancy means.  It's ok Schimidt, we get the fact that you are a closed book.  Thankfully, your impact on society is meaningless.  I accomplish more in the first hour of my day then you have your entire life"""
"5773",1,"""And you're a big phat, brown, stoopid libturd..."""
"5774",1,"""I wish the same to you uglyandpoor.  You have nothing to say of your own, so you post things I have said - out of context.  You are a horrible little person.  flag yet again."""
"5776",1,"""Storobin - youstole the damned election. You are not wanted in my neighborhood. Get the hell out of here and go back to wherever it is you came from."""
"5779",1,"""You two are fucking trolls. What a sickening thought. Last time I checked Oaxaca is relatively safe, but ya'll wouldn't know that cause both of you have your heads up your ass. Btw, most of the violence is on the borderstates of Mexico. Or did you forget that, too?"""
"5782",1,"""i am sick of seeing this fuck asshole bitch made chain latters o.O? gonna kill the person on ""inside"" who the asshole sick son of bitch made this crap things look at me i am grace wow i am to cool ghost\\\ me:*claps* NOW SUCK MY DICK MOTHER FUCKING ASSHOLE i will fuck you lol"""
"5784",1,"""Coolest president ever? Your a complete waste of oxygen and resources. Phucking idiot"""
"5791",1,"""Shows what you know dipshit, Remington and Winchester aren't made in China. I swear,elitist assclowns like you are an utter embarrassment."""
"5793",1,"""Well then the OP would learn that she cannot diagnose herself with Aspergers, and that self-diagnosis is a bad thing leading to people whom act stupidly because they think they have some disorder/diseasethat in actuality, they don't."""
"5796",1,"""You act like you faced a good team. You played like crap against another crappy team."""
"5807",1,"""Wait you said though that your country was the nice one in the world- how bout you take that food from your dog and help feed the population of the world because i thought america was great right, they always try to use theor ethics- apparently not because losers like you are selfish andignorant"""
"5812",1,"""You married the turd, and bred with him..."""
"5813",1,"""HEY KRYSTAL: YOU STUPID IDIOT WHO Can't Understand Normal Thinking.. fhuck off you howre"""
"5814",1,"""huck huck huck, no... but giant pictures of them beating the_crap out of idiots like you are ok!!"""
"5819",1,"""He won Michigan in the primaries.  Holy shit, your dumb."""
"5836",1,"""Ms Jenkums could you please look up atthe right hand corner up topand click the red X, and to never returnagain pls.....You are to dumb to know your dumb......Clickitnow....And don't come back now you hear...."""
"5837",1,"""Listen you fucking wanker -- we approve all comments, so long as they are not inflammatory against a type of people. We censor blatant bigotry. But little dickwrinkles like you calling me a pussy? I'd never censor that. Look at other posts...people have wished AIDS on me dude, so...I've heard worse fuckhead.That said, if you have to sleep with a woman in her 60s, then that's pretty sad, dude. Try dating girls your own age. It's kind of weird you're into way older chicks. You might wanna rethink hugging your own mom when you have a boner going forward.Plus, I have had more ass than every male in your entire family line -- with their fucked up teeth and small dicks -- has ever seen. Just a point of clarification, you bucket of cunt slop."""
"5839",1,"""ima fuck me 2 white bitches. you got a sister? ima fuck her in the ass. ima fuck ya ball headed \ sister everybody go to youtube look up the vid and look at the info section and it has all these fags address facebook and parents name and phone numbers real talk take a look..i aint no snitch but when i see shit like these goin on it gets to me..i live around there so when i see em ima fuck them upp good prolly gonna have to cut a bitch too"""
"5840",1,"""Retard, everyone wasnt bad. Everyone had fallen angel blood in them. God didnt want that. God wanted humans to be human and angels to be angelic. Not no damn hybrid. Read the bible before you fuck up your interpretation."""
"5841",1,"""All racists like you are morons, dude!   It just happens most pit bull owners are morons too & this has even more convinced me of that."""
"5842",1,"""It's hard to read your post and not immediately think that you're xenophobic"""
"5847",1,"""Fuck you Fred"""
"5850",1,"""go suckle on your mom's teet little child"""
"5853",1,"""You are a fucking idiot."""
"5855",1,"""Flag this loser's posts. Enough flags and he loses his nic automatically."""
"5858",1,"""If you claim you don't have the power to forgive but only ""Allah"", why then do you arrogate yourself the power to avenge? Are you not double-speaking? Why not leave both powers to the owner, ""Allah"" and allow him to fight for himself? Or is he not capable? We are not afraid of you; we are not afraid of death. Everyone will eventually die, both the killer and the killed; our Lord Jesus long time ago warned us about sects like yours and encouraged us not to be afraid for you can only kill the body but can do no further harm after that: you can't kill our souls which ultimately goes back to our God; so kill all you can, Jesus will forever remain Lord!"""
"5861",1,"""I told you before you poor excuse for a human being not to respond to my post but you don't listen. You are ignorant, you pathetic piece of feces. I hope you get what you deserve in a fatal accident soon...."""
"5865",1,"""Apparently, bad officiating never gets old to you morons."""
"5866",1,"""Thanks for confirming that conservative men only see their women as a pair of tits and an azz."""
"5868",1,"""what's your deal bro?  You aren't concerned, and you damn sure are not a liberal.  Why don't you just be yourself instead of coming on posing as a screwed up exaggeration of people you don't like or understand?  Did your mommy not love you enough or something?"""
"5874",1,"""Klein, you are a coward. Did you really interview these guys, just to mock them.   Best part is that you stop short of belittling Scheartz. Even you know that would probably be the last straw in your downward career."""
"5875",1,"""oh all of a sudden u changed ur picture to A WHITE GUY WITH PENNY LOAFERS....MUFUCKER U LAME"""
"5876",1,"""You're naive and don't have a basic grasp on biology."""
"5879",1,"""Nobody gives a shit what you say"""
"5886",1,"""bitch please...you are the biggest troll. :P"""
"5888",1,"""You do not exist as a human being. Please go back into your hole you rotten scumbag."""
"5889",1,"""The article was about Bush you asshole."""
"5892",1,"""Yo@LukeEmery:disqusyou must be too dumb to know what ""grand jury"" means. Plus who is going to testify against him? The dead Mexican? Go shove your idiotic comments up your you know what."""
"5895",1,"""Hush little negro don't say a word, Mama gonna buy yawz some Thunderbird."""
"5901",1,"""No you are a corny dumb ass."""
"5906",1,"""So you call her a W H O R E making you what.....? Pure? You're a fool and an idiot."""
"5907",1,"""the same with write people . every one do some drug in there life ok not all black people is drug addict so i would like you to stop hating on blacks ok you prick . have some respect for him god know y he do what he did ok have a bless night u prick"""
"5908",1,"""When you say Bama, you are referring to the school, like in your posts below... stop being an idiot."""
"5914",1,"""No actually, you've shown me no source, all recent data has been shipments, idiot. Your other comments would hurt if you were actually relevant, moron of the year. Explain how that's still not dominant, kid."""
"5923",1,"""Stop acting like a bitch. He was a kid for goodness sake."""
"5930",1,"""Well we know you are to dumb... You only chose that screen name to satisfy your overgrown ego...."""
"5939",1,"""Got a reference for that idiotic comment?"""
"5943",1,"""To the idiots posting on here who think racism is alright.... Well it is nor and if you were a victim of racism then you would know... I feel like Balli too and I would kick off as well even if meant i got arrested.... Did you seem them dumb fkin poles and ukranians racist bigots..... Racists have a place; sure they do.....in the fkin gutter.... And you know what would stop racism immediately or bring it to the forefront....if the racists were to throw swastikas at all the jewish players; I bet the football bodies would take note immediately....."""
"5951",1,"""OH YOU \sit down and SHUT THE FUCCCK UUUUP you mental retard! What the fuck do you know retard??? I hate people like you!! Why dont you go get violently killed in a car accident you fucking retarded dick headed bitch mother fuckin ass hole?!!!!!!!!!"""
"5957",1,"""Evel dick gets my vote James R is a very creepy looking ""man"" Mr Rogers look alike plus he whined like a little bitch when Janelle destroyed ""him"" in the OTEV POV comp"""
"5961",1,"""@berethor099 Go ahead and try, dude. Go - fucking - ahead."""
"5963",1,"""Rob, you have proven your point already. We understood - you are an antisemit. You can relax now."""
"5965",1,"""It is a great honor to be a Zionist. You are garbage, a retarded idiot."""
"5967",1,"""sgboy,get back to your cot,I hear your parents calling for you."""
"5971",1,"""You are a pig."""
"5975",1,"""fly away gay_pusssy...fly away."""
"5976",1,"""We're not the losers but you and this country are."""
"5980",1,"""Commenter? Your very childish. Grow up and be a man. Stupid remarks like yours just proves that you are a little boy and have yet to understand what it means to be an adult."""
"5983",1,"""Provide Proof faggot."""
"5984",1,"""Your Mother is the clubhouse whore..."""
"5988",1,"""Take your ""testament"" and shove it."""
"5989",1,"""suck ya dads dick ya stupid slut, he's waiting 4 u. u probably ugly as fuck, damn i know it sucks to be you, trollin on a joke i made. fall back b4 ihurt yo feelins ho"""
"5996",1,"""Seems like you are on tik you moron! Are all people of your colour rapists of mothers and children? I don't think so. Stop making idiot comments!"""
"5997",1,"""You certainly come off as an arrogant s.o.b.  Your right ends when the safety of others begins.  I don't give a rat's arse THAT you hunt, but keep your bullets along with your second hand smoke away from me.  Sheffield Village is a sprawling area and you are living in the past.  YOU, sir, may have to find a new piece of hunting paradise to fulfill your desires.  As far as history goes, tyhe Indians hunted all over.  Places change.  Get with it or get out!"""
"6000",1,"""WhatIsBannedIsNeverSuppressed,  you're just a sorry ass commie aren't you? Too lazy to get out of bed to better yourself.  Much easier to sit back and let others do the hard graft and hand over money to you to live your commie dream.  Never mind thinking big, try working big. That's what benefits all.  Your type make me sick to my core."""
"6001",1,"""How stupid are you? Do you realize that many women take birth control pills for many reasons besides preventing pregnancy? Educate yourself,fool."""
"6002",1,"""fucking idiots"""
"6005",1,"""you're a fighter not a lover,and your family needs to die too."""
"6010",1,"""Ok. You are a complete retard. Re-read what you just said about a ""bullpen"". You know nothing about baseball!"""
"6019",1,"""stfu u dirty ugly wet musty hair havin rican! Dirty ass wetback! I SWEAR I CANT STAND U DIRTY UGLY PALE FACE WANNABE WHITE SPICS POSTIN RACIST BS ON WSHH WHEN U THE LEAST DISLIKED GROUP OF PPL IN AMERICA!!! IMA SPIT IN THE NEXT LIL WETBACK KIDS FACE WHEN I SEE EM BECAUSE OF U"""
"6020",1,"""That is a moronic response. They should not repeat the crimes they commited? Please don t post your trash here."""
"6022",1,"""By ""your kind"" I mean angry little Yankee know-it-alls,who are complete white trash in the states they came from and move here and think they know everything, because ""Southerners are slow and backwards"". You were trash up there and you are trash down here. Go home and take all of your friends with you. You are ruining our culture and quality of life. Although, you Sir wouldn't understand anything about quality of life,you are a pathetic internet troll who's entire life is sadly based around your pathetic rants on message boards. Go Home dude."""
"6025",1,"""Now you went and...fucked..up this whole page."""
"6027",1,"""You know, it is so easy to talk shit about this, you know nothing about what he was going thorough in his life, so fuck off!"""
"6028",1,"""@Pickle  You look like Brian Scalabrine's brother.... thoughts?"""
"6030",1,"""And you need to know classified information because... When it passes into history, there is little anyone can do about it.  And in the meantime, you really don't need that information.  I'm guessing you just want to feel smug about getting it."""
"6043",1,"""You are an idiot.......why do you even bother..??.Wasted words."""
"6050",1,"""LOL!!!! Do you even realize you are making a fool of yourself? I bet next you will post something Like ""I forwarded your post to the FBI"" or maybe "" I told my mommy"" Speaking of growing up Get busy. \"""
"6053",1,"""You stupid f uuu c  k. I hope you die the same way she did."""
"6054",1,"""But, you couldn't show ANY proof of that, even if it was true. Go away. You are an embarassment to your Klan brothers, your family, your neighbors, your teachers and America as a whole. Find something to say that is not directly quoting Nazi or Stalinist propaganda.  The most pathetic poster on the web. You are below Oberbite, a Soros trool or the ignorant little heap that wwrote ""Waiting to Exhale""."""
"6063",1,"""All these news are planted and for getting some extra media attention - that's all ..............................................bloody fucker ............ranbir fucker kapoor."""
"6064",1,"""Are you fucking dumb? ""making it clear that the group was delaying their comeback due to album production and not toavoid competition with other groups."" You should be thankful that 2ne1 didn't cameback this june, if 2ne1 did, those awards will be owned by 2ne1. Fuckin insicured fx fan."""
"6067",1,"""You are an IDIOT!!!"""
"6069",1,"""Well, I WAS born and raised in Africa and proud of it! Wth do you think Africans are lesser than you or something?? Take your ignorant ass somewhere else cuz I'm not the one."""
"6073",1,"""And odumbo is an old lying,inept,loser,communist,ni66er,what's your point?"""
"6087",1,"""try speaking in correct english as well. what dummies are on here today."""
"6090",1,"""Who the hell do you think you are saying anything! SOUNDS LIKE YOU ARE THE UNEDUCATED IGNORANT  PIECES OF SHIT TO ME!!!!"""
"6091",1,"""Answer: Yes. No. Yes. Are you retarded? Meh. Nope."""
"6093",1,"""You don't wear your brain bucket ....you only hurt you and your family. You become impaired you have the ability to hurt everyone."""
"6097",1,"""Nice use of vulgarity attached to a teen; you have real internet muscles. Nice racist screen name too, if a male you fit the bill as a female nick-name. Disgusting; no way that you are a patriotic conservative."""
"6102",1,"""How was that not a strike you buffoon?"""
"6108",1,"""SHUT UP YOU DUMBA<m>SS B<m>ITCH YOU ARE DIRTY BROWN WATER TRASH"""
"6115",1,"""Well aren't you phucking special. It's easy to have all those things when your still living in your mother's basement. LOSER"""
"6117",1,"""F uck off loser colon cowboy. Go back to your boyfriend's filthy, dirty, hair, bacteria infested ass hole and hope that when you pull your c ock out it's not too brown. Or does someone else's s hit on your cock turn you on. You and your type are sick, disgusting perverts."""
"6119",1,"""and it's idiots like you wanting soviet bloc laws as long as they don't affect you. Your both retarded, and you need to go back and read the Bill of Rights and the Constitution again."""
"6120",1,"""Clearly you're a fucktard. Not saying your right (or wrong), just saying who the fuck just randomly compares a rap group or any other MC on a post about a specific video and song about the dude's mama. Wtf does SH or any other MC or Hammerdance have to do with this song?"""
"6122",1,"""You're certainly what Lenin called a ""useful idiot"". If you like Islam so much, go where it is practiced ""just the way you like it"". Get to beat your wife and will, kill your kids for whatever reason turns you on, lie to anyone about anything just because ""it furthers the cause of Islam"" and others around you ACTUALLY BELIEVE YOUR LIES."""
"6123",1,"""It's not being a Liberal that makes you like an idiot, it's when you try to defend this POS POTUS that makes you look like an idiot!"""
"6133",1,"""You are a LOSER."""
"6137",1,"""GO-AWAY GO-AWAY GO-AWAY YOU DIRTY SLUT"""
"6138",1,"""How do you accidentally molest someone? Are you retarded,or did it happen to you?"""
"6140",1,"""Quite sure your mama did too. Your dad should have went fishing the day he knocked up your mom. Can't stand you and I don't even know you. Kids have died and all you have are these ridiculous comments. Go fix yourself a nice plate of neckbones and rice. All I want isone little bone to get caught in that cesspool smelling throat of yours and kill you over. You know what? You probably banged ablack chick and she told youthat you didn't measure upand laughed you right out of the bed. Is that your problem?"""
"6146",1,"""you are a hater..plian and simple...."""
"6151",1,"""lol i diot we used your money lol what a waist of DNA you are."""
"6152",1,"""eww i like BB but saying the rest of kpop isn't real music just makes you sound dumb as fuck. go back to your wonderfully lame articles and leave f(x) alone. also thanks for increasing our views count MUAHAHAHA."""
"6153",1,"""That second year of fifth grad was a big fat waste of time. You are one sad, ignorant, liberal troll."""
"6158",1,"""yerpathetic                                                                           0 minutes ago              in reply todesign4u1                                                                                             LOL!!  You are an idiot.  But don't worry.  America ALLOWS you to be an IDIOT!!                                           =======================  You Canadians never answer this question why?"""
"6164",1,"""Oh I think I do. Let's put it this way, it's not like watching United.  Only muppets like yourself can see that's good football. Listen good on them for qualifying, but the football is dross and a 100 odd idiots posting here isn't going to change that.  So think again about who the thickos are and add your name to the list."""
"6167",1,"""More grammatical errors, Vicky<2. You're on a roll today. You are so stupid..."""
"6176",1,"""puberty? ha! just because you behaved like a man only when you were going through your puberty and been a gullible nancy your entire life doesnt mean everyone are like you . Pretty sure you got lady parts and vomit when you see blood or gore .. continue advertising your transexuality  on world wide web i have already owned your ass."""
"6178",1,"""The muzzies don't like it when you fight back. Friggin' cry babies. Go back to what ever hell hole you crawled out of, you homicidal morons."""
"6182",1,"""im playing college ball what you, 5 sitting on worldstarfrustratedwith yo life lame im laugh fuck niggas like you everyday 5"""
"6183",1,"""The waste of time here is you and your comment"""
"6187",1,"""jonx, You are crazy, just plain crazy."""
"6189",1,"""You are a fool. Hispanics are hispanics are hispanic to the bone. I hear rubio saying illegals good, illegals good. illegals good, punish all anglo racists. Illegals good, illegals good, legals bad, legals bad. Anglos bad, anglos bad. Uncle Fidel good, uncle fidel good. LaRaza good, LaRaza good, progs good, progs good, conservatives evil, conservatives evil, conservatives fools, conservatives fools. That his what I hear from your next prog idol that is going to break your heart."""
"6194",1,"""how do you know mother fucker stop assuming shit you don t know you don t know that man like you hypocrite son of a bitch"""
"6199",1,"""More grammatical errors, Vicky<2... You are so stupid..."""
"6204",1,"""Go back to MediaMatters, troll.  You and your pond scum buddies are toast."""
"6205",1,"""And you are a terrorists pig."""
"6215",1,"""I am sorry that your gay affirming inner-psych (opath) was disturbed (mentally) by my use of transgender; but a punk that is a male hiding behind a female screen name, has a myriad of issues (like your contributing zero to the conservative cause ass does too.) If you keep stalking bitch; I'll show you who's your daddy."""
"6217",1,"""tamrabam. you are a moron. I assume you vote labour. were you there, no , so shut your gob. Maggie had the balls to kick them out in no uncertain terms, non of our current leaders would do that now."""
"6222",1,"""None of your posts have any value whatsoever."""
"6228",1,"""The key words being keep thinking, something you have a hard time doing redneck racist retard."""
"6231",1,"""Oh CJ, Cj, Cj, you fat ugly bitch! Its just so funny how much you NEED us! You need us to tell you that your husband would rather fuck a barbed wire covered glory hole than touch your 53 year old moldy vagina. You need us to tell you about the health problems your poor children are going to suffer thanks to your fast food and brownie diet. Poor tweenie is going to be teased in school for being tubby. You need us to tell you how stupid you are to go off of a fucking car thermometer to determine the outside temperature and then compare it to a fucking tropical climate state like Florida. How the hell do you function in life? Oh wait, you dont. You sit your fat worthless ass at a computer all day ranting about gay marriage. I hate to break it to you but I guarantee your darling son Sam is going to grow up to be the butt pirate you so hate. What are you going to do then? Throw a bible at his head? It wont knock the gay out of him! Even worse little Sara is going to grow up to be a......LIBERAL! Gasp! Oh nos! So your tweenie is going to be a fatty, sammy a gay, and sara a tree hugging hippie! Looks like your ""christian"" mothering sucks and you should try another route. Might I suggest getting the FUCK OFF THE COMPUTER and going to spend time with them?"""
"6232",1,"""so lets pamper the child so the child never does better. you are an idiot."""
"6234",1,"""It's been years and you birther idiots have yet to find ONE piece if evidence to support your claims, so who is the stupid one?  You are gullible and ignorant if you believe our president was born in Kenya"""
"6237",1,"""Dickhead will just copy and use it, don't bother. We know Rooster is all mouth and no balls."""
"6243",1,"""Cheappathetic references to Nazi Germany, you dont know how good you have in this country A-Hole!"""
"6247",1,"""I pull nothing from you, Hanni. But, keep parroting me, in lieu of thinking for yourself. It will at least make you sound a little smarter than you really are."""
"6253",1,"""You suck. You probably don't have any friends. Your family probably abandoned you in disgrace. Go crawl back under a rock and do this world a favor and stop existing. You think you are cool because you think you understand the situation and call this man a coward and pathetic. Well congratufuckinglations. You just showed the world what a doouchebag you are. I don't know if its because you are emo or you think trolling will earn you respect but i don't give a damn. Go dig a hole, bury yourself in it and stay there. If you don't have anything good to say you better expect nothing back."""
"6258",1,"""Your point is as valid as the hole in your head that you obviously gave to yourself before making such an idiotic statement. And bringing politics into it? Could your trolling be more obvious?"""
"6264",1,"""fuck this gane this fucking fake"""
"6266",1,"""Wow!  we got us a real literate einstien here don't we???  ""dush bag""?  And such grammar!!!  Maybe you should have stayed in school past the 2nd grade retard!  What happened,  momma spend all her welfare chk. on booze and crack???"""
"6275",1,"""Greatness ? how do his balls feel in your mouth?"""
"6278",1,"""He a-hole I'm a Leaf fan and I know they are crap. You didn't read what I said. Today you hate them, tomorrow you love them. What are you 10 years old with the go take a crap. Does your mom know you are on the computer and not in pre-school getting beat up. A-hole. Doesn't sound so good does it."""
"6280",1,"""this post is so shallow and pathetic. Kudos to people who are growing old with out trying to defy the laws of nature, and half of your posts are merely bad pictures you are trying to write off as ""not growing old well"". Must be a slow news day because this is truly an all time low."""
"6283",1,"""A crazy muthafucka named Gusto! I fucked ya wife cuz the bitch is a big ho!I fucked ya sister, I fucked ya cat!I woulda fucked ya mom, but the bitch is too fat!  That shit was way funnier than it had any right to be."""
"6284",1,"""_FUCK_OFF_NIGGER_YOU'RE_NOT-AMERICAN_YOU_POS-FAGGOT!"""
"6288",1,"""Your an IDIOT!"""
"6291",1,"""Your an idiot"""
"6293",1,"""How do we know Terry Krepel is your real name. If you are not a gutless coward, you'll provide an address and phone number. Now, we are paying attention...don't be a gutless coward and p*ssy!"""
"6294",1,"""idiot nayar you are mother fucker. you are saying attack on Shri harmandir sahib was a right action, this shows you negative thinking about sikh community. All siks are agree with building memorial thats why any sikh organisation does not oppose. You have no concern with issues of punjab. The wording you used in this article is very rude and this shows your hate about sikh community,,,,,,you are barking dog,,,we don't care you"""
"6296",1,"""You are either very ignorant or terrible at sarcasm"""
"6302",1,"""Chris, please stop commenting, because you're obviously still trying to catch your breath from your sucking off Cook. This has made you more retarded than usual."""
"6308",1,"""Lol man your gonna call him a loser and to get a life when you are on here sticking your nose in their business?? Your a douche bag who probably has never even seen a vagina. Go get laid and see that there is more to life than being a Dick like you obviously are."""
"6311",1,"""@TeeBooWa HAH YOUR'E ONLY 14? FPFF AND YOU TELL ME WHAT TO DO? I'M WAAY OLDER THAN YOU WHO YOU CALLING A BITCH AND A FUG? YOU DOUCHE BAG BITCH I WANNA PUNCH YOUR EYEBALL OUT AND KILL YA FUCKYA"""
"6312",1,"""Oh yeah. Like you would have stopped your car and assisted. You're a lying idiot."""
"6316",1,"""You're probably a phuuking dyke....aint ya beotch ?"""
"6321",1,"""You're a liar. I was on that night dealing with two of you trolls an hour before anyone showed up.  This isn't a physical fight here on this screen, you moron. In order for what you say to be the truth, I'd have to sit back and say nothing while others fight for me, and if that were so, you would never have been reading me for some time.  It's one thing for you to be a liar, but quite something else for you to be a STUPID liar."""
"6324",1,"""Steve,go brush your teeth with a revolver you dumb bastard"""
"6328",1,"""That has to be the stupidest comment I've ever seen."""
"6329",1,""" \We have more where he came from. Don't rest, we are watching your fat azz."""
"6349",1,"""let me rephrase:  In other words, you are an insane pussy."""
"6353",1,"""With a screen name like yours, you need to s..t..f..u.."""
"6358",1,"""If you lose your life because of stupidity, good riddance!"""
"6360",1,"""straight men will fuck anything!!"""
"6372",1,""""" The Filipinos have learned to realise that it is better to be associated with America than any other superpowers. ""Oh, really ?Check your history, idiot.I'd rather we pick our own selves up, so we wouldn't be a joke to the planet.Such as this guy.And what's your basis for this delusion ? An American fuck you in the ass ?"""
"6375",1,"""Your mom must be a real low life trashy hook er"""
"6376",1,"""So, now we know what you are by your own identification, fool, will you kindly moveon.org and stop cluttering up the place and so we intelligent posters can post?"""
"6379",1,"""Maybe you should read thatfirst sentence you wroteagain slowly. You are bending over to far to makean illogicalpoint. We are starting to see your ignorance."""
"6394",1,"""Fuck you, you fucking dork."""
"6403",1,"""Poor deluded psychopaths. News flash, marriage is UNNATURAL. It is a construct of beings that have stepped out of nature for the most part. Construction, vehicles, technology.. all ""unnatural"" if you think about it.  Now, if you're talking about the pairing off into couples by animals in nature, sure.. they do that. But it has never been about property rights for them, like it used to be for humans. And there are same sex couples in nature as well, since it's about making life easier in groups than it is by yourself. So, by THAT fact and the logic that goes with it, gay marriage is AS natural as hetero marriage.  You fuckers never have a reasonable leg to stand on.. it's always your invisible sky fairy and some bullshit some cave dweller spewed 1800 years ago. Step into the age of enlightenment, you might like it."""
"6406",1,"""Chavez is a total joke at the plate, an automatic out. He's only decent as a late-inning defensive replacement. You'd know that if you weren't so f#cking stupid. We have Pearce, Betemit, Flaherty, and Andino (once BRob comes back) to take over in the outfield until Reimold and Markakis get back. None of them will make anyone's All-Star team, but they all look like Babe Ruth at the plate compared to Chavez. Grow a brain, for chrissakes. Your ignorance is appalling."""
"6410",1,"""that nigga joe as shit fuckk out of here u dirty ass young bull"""
"6413",1,"""What a selfish slutbag. That fucking fat ass chubby cheeked bitch probably got mad because her precious baby boy was hungry. How DARE he eat food! Not only do children require food to grow and become helathy adults, but this bitch probably fed them HoHo\\'s and Twinkies. I can just hear her now ""Get off my food you little shit! That\\'s MY MotherFucking Twinkie! Momma\\'s got the munchies!"" Then, WHACK with a fucking hammer. What a cunt."""
"6416",1,"""you are a complete fool. slowly read what you have just written. it makes no sense."""
"6427",1,"""id kill you if you were here. not because im a ""gangsta"", but because i hate you. f*ck you."""
"6428",1,"""F v < k you too."""
"6431",1,"""I talk about you all the time.  For instance; Denial is a warm yellow river running down your leg.  Did you forget you have to pee sitting down... Again?  (for the retards in the audience, I am implying that Hanniturd is a woman (yes hanniturd, the retard in the audience is you))"""
"6434",1,"""thankyou EPS YOUR AN IDIOT RICDOSE"""
"6437",1,"""Tom, you are an idiot on. You suffer from whitmenitis, aka, you find it easier to blame others for your mediocre life achievements. Truth of the matter is, you simply do not have much to offer."""
"6439",1,"""go back to your crapping unperfection home"""
"6443",1,"""And you are a weak bully!"""
"6457",1,"""Spelling mistakes? like i said, Ignorant Asshole. So go put your butt plug in and shut your mouth..... HAHAHA estkill16, i see your getting roasted on here already,  i see your bios, a lil homo from Detroit whose moms a whore haha i wonder whose got the bigger mouth...."""
"6464",1,"""That may be but you are asad, little pathetic WHITE man man ewww...100 times worse you child molesting mass murdering welfare bum! you must be deported!"""
"6466",1,"""What a fool you are, we all know that you think of nothing more than being GAY."""
"6468",1,"""Why don't you take your pathetic intimidation attempt and shove it up your @ss, troll?"""
"6471",1,"""not a slave tho you idiot internet racists"""
"6475",1,"""ILL FUCK YOU LIKE AN APE GAY BOY"""
"6479",1,"""With every one of your comments that I read, I realize more and more just how batshit crazy you are."""
"6483",1,"""lil b drops mad shitty music because he wants you to sort thru it and find the good shit, lil b has some amazing songs, everything else he drops is just to piss of lil sensitive pussies like you"""
"6486",1,"""Pussy bitch take my fuking house off of your picture. I know it looks better than that nasty black ass you had up there but still"""
"6495",1,"""@justin_mia Perkins is a knucklehead"""
"6497",1,"""Look here, cunt. I hope you get raped by the devil. I hope you get cancer, and experience the most absurdly horrible pain a human being can feel. I hope Rick James slaps you right in the fuckdamn mouth. Then, after all of that. I'll walk right up to you, and shoot in the fucking throat. \"""
"6503",1,"""You must be one of the dumb ones.  Here, let me explain it to you... when you have an inflated catheter inside you, pulling it out WILL cause permanent injury. There is nothing for this man to ""get over"".  He's been damaged and needs to be made whole again. Pay the man.  And YOU, you need to go out to your local dollar store and buy yourself a new brain, the one you have currently doesn't seem to be working."""
"6505",1,"""holy sh yt, you are one du mb ph uck"""
"6507",1,"""LETS START BACK UP WITH THE LIBTURDZ AND TEAA TARD NAME CALLING"""
"6508",1,"""You are a lying son of a bitch. Let's see you post some facts supporting your assertion."""
